file,Feb-20,Feb-21,Feb-22,Feb-23,Feb-24,Feb-25,Feb-26,Feb-27,Feb-28,Mar-01,Mar-02,Mar-03,Mar-04,Mar-05,Mar-06,Mar-07,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
AfD,0.937632,0.825272,0.81152,0.897928,0.919532,0.854016,0.771532,0.614216,0.92128,0.79558,0.91,0.873888,0.94746,0.858138864,0.860176,0.951804,0.868532,0.873952,0.928328,0.955984,0.963392,0.87096,0.801944,0.999936,0.942624,0.9001,0.85936
Bayrou,0.802,0.560288,0.535344,0.278011699,0.354912,0.440108,0.593568,0.70352,0.451472603,0.570504,0.810504,0.696544,0.850192,0.957664,0.9964,0.708836,0.919468,0.838226708,0.71664,0.728252,0.653184,0.999216,0.999804,0.57594,0.953112,0.73404,0.397871858
CDA,0.999936,0.705384,0.999996,0.928032,0.998844,0.960776,0.969992,0.91198,0.999804,0.999936,0.872132,0.997696,0.99316,0.961384,0.87998,0.999984,0.899972,0.97182,0.961472,0.95788,0.839092275,0.982,0.96322,0.981712,0.97004,0.999984,0.999804
D66,0.745912,0.991536,0.997084,0.999964,0.939988,0.9996,0.854,0.923636,0.999744,0.969208,0.901664,0.95356,0.69636657,0.999984,0.918048,0.998704,0.999964,0.96548,0.594252,0.906988,0.71448,0.93404,0.997884,0.996636,0.807204,0.904456,0.74334
fillon,0.552644,0.501328,0.504682131,0.614112,0.412025206,0.496512,0.62572,0.489872,0.557991459,0.47296,0.380256,0.947872,,0.64908,0.5364,0.514264,0.690136,,,0.87804,0.645776,0.79528,0.620442495,0.66782,0.71812,0.57256,0.63056
Labour,0.999984,0.999424,0.986816,0.945952,0.715908,0.788264,0.8292,0.78832,0.898112,0.91986,0.925584,0.96734,0.926708,0.999964,0.999984,0.998236,0.961796,0.999676,0.956733576,0.93922,0.999216,0.77376,0.975916,0.945992,0.999744,0.867952,0.93356
LePen,0.8886,0.863388,0.841736,0.9442,0.911324,0.856376,0.83792,0.729856,0.987636,0.985504,0.95122,0.841200757,0.90848,0.697776,0.865712,0.883448,0.999324,0.839844,0.867972,0.97,0.691104,0.979604,0.93098,0.77512,0.955936,0.942048,0.878848
Merkel,0.998236,0.954032,0.979984,0.9996,0.995604,0.993916,0.644186982,0.811776,0.833816,0.996864,0.910944,0.95796,0.891904,0.38194,0.21262,0.999744,0.999804,0.896192,0.897952,0.7912,0.79888,0.90916,0.91368,0.999856,0.97664,0.92556,0.944044
PvdA,0.93424,0.862016,0.855772,0.91984,0.999964,0.997084,0.998556,0.811652,0.999856,0.586164,0.65,0.928776,0.975936,0.8642,0.996864,0.998844,0.928964,0.89,0.951232,0.840784,0.86124,0.947916,0.9991,0.965888,0.894,0.849552,0.55152
PVV,0.450486576,0.87982,0.655628,0.549380689,0.5883,0.44630694,0.736116,0.66338,0.60582,0.5703,0.436752,0.343853783,0.527036,0.485644226,,,,,,0.792132,,0.89392,0.70304,0.82556,0.82394,0.737536,0.734544
SPD,0.614416,0.754624,0.553348749,0.718216,0.902146804,0.581488442,0.469528,0.773496,0.9684,0.95552,0.638656,0.906708,0.95072,0.87756,0.889936,0.87796,0.678386549,0.81814,0.71316,0.79632,0.78394,0.705696,0.68016,0.572584,0.509088,0.578224,0.926
Asscher,0.999964,0.999216,0.998236,1,0.9996,0.93122,0.885952,0.847368416,0.998976,0.996156,0.998064,0.338172,0.901664,0.881912,0.82056,0.998704,0.9991,0.999324,0.999856,0.925944,0.263472791,0.999936,0.973944,0.8751,0.999744,0.991536,0.999964
Buma,,0.9984,0.999676,0.999856,0.474165442,0.67706,0.796989225,0.88468,0.9996,0.999516,0.999984,0.28,0.837952,0.72564,0.738072,0.994816,0.999804,0.999964,0.999324,0.999984,0.944368,0.999324,0.888776,0.9975,0.999996,1,0.999984
Bundeswahl2017,0.999936,0.999984,,0.999964,0.999324,0.998844,0.999964,0.9999,0.999984,0.998064,0.999424,,0.999936,0.999804,0.999324,0.998704,,0.999996,0,0.999964,,,0.998064,,,,
cambadeÌÅlis,0.999936,0.634876,0.87344,0.999424,0.9991,0.997084,0.999216,0.999936,0.999676,0.996156,0.999856,0.997884,0.999804,0.653999347,0.703344,0.733048,0.999936,0.998704,0.999936,,0.998236,0.998976,0.999984,0.999996,0.999984,0.221177424,0.583754646
