file,Feb-20,Feb-21,Feb-22,Feb-23,Feb-24,Feb-25,Feb-26,Feb-27,Feb-28,Mar-01,Mar-02,Mar-03,Mar-04,Mar-05,Mar-06,Mar-07,Mar-08,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,01/03/,Mar-18
AfD,0.945376,0.91968,0.84218,0.934524,0.943872,0.937776,0.92352,0.73388,0.913856,0.792566075,0.920768,0.940064,0.954288,0.886546021,0.871316,0.9261,0.93712,0.88772,0.94204,0.96276,0.989712,0.934404,0.9999,0.998236,0.998844,0.934024,0.965984
CDA,0.998844,0.69364,0.999996,0.916156,0.969944,0.909792,0.92596,0.965272,0.999744,0.9996,0.971872,0.82492,0.913496,0.924132,0.842,0.985832,0.999964,0.977696,0.959988,0.929424,0.775216,0.981992,0.90564,0.995744,0.9794,0.9996,0.999424
CDU,0.999324,0.965856,0.99552,0.9999,0.991608,0.961832,0.671472,0.863856,0.925984,0.8779,0.867868,0.88112,0.947664,0.948152,0.521984,0.98464,0.998704,0.887808,0.9011,0.791584,0.78816,0.940712,0.909592,0.969352,0.98548,0.90188,0.915192
Conservative,0.751592,0.93524,0.96516,0.998236,0.965736,0.927916,0.999936,0.83772,0.972344,0.90334,0.9984,0.783328,0.753651942,0.999804,0.816024,0.653012,0.996636,0.707628036,0.9288,0.921968,0.999856,0.829928,0.567692048,0.838056,0.850374401,0.733884,0.843408
CSU,0.9999,0.999996,0.998556,1,0.999804,0.9975,0.998064,0.995644,0.754709826,0.730464,0.92774,0.999964,0.998844,0.999984,0.9951,0.999984,0.998976,0.999216,0.9999,0.998844,0.999216,0.959976,0.752256,0.92794,0.999744,0.999964,0.816
D66,0.961296,0.998976,1,0.999676,0.950252,0.7918,0.79316,0.817896,0.9964,0.97928,0.885948,0.935956,0.73146,0.951316,0.814656,0.999804,0.999856,0.961856,0.6335,0.866944,0.80432,0.897928,0.999744,0.997696,0.806196,0.938027008,0.680924
FDP,0.889568,0.9991,0.9171,0.9999,0.999996,0.998976,0.999804,0.999804,0.999324,0.999804,0.997696,0.9975,0.999516,0.999964,0.998556,0.999964,0.999964,0.999216,0.999744,0.999424,0.995904,0.999744,0.999324,0.998976,0.9951,0.998556,0.9984
FrontNational,0.901504,0.8805,0.853932,0.95392,0.88444,0.827624,0.860044,0.734885494,0.999676,0.9984,0.962,0.87376,0.931428,0.753944,0.82019479,0.86238,0.987748,0.851748,0.917832,0.965504,0.729643982,0.976344,0.930592,0.811488,0.932044,0.937552,0.858008
GroenLinks,0.772308,0.998236,0.999324,0.82972,0.91504,0.937888,0.852624,0.954128,0.996156,0.924064,0.999996,0.856052,0.873883359,0.860784,0.7139,0.8254,0.906912,0.732156,0.597388625,0.952784,0.859744,0.911892,0.937976,0.977584,0.999996,0.998704,0.80976
Gruíönen,0.999744,0.846848,0.72832,0.959616,0.998704,0.76132,0.999996,0.998064,0.911988,0.899968,0.79874571,0.999516,0.903808,0.88604,0.93976,0.9991,0.59632,0.88212,0.564276,0.497464154,0.45242,0.792384,0.943904,0.82007503,0.595041322,0.56964,0.8111
lesrepublicains,0.5898,0.49886,0.523005261,0.579096,0.43764,0.43164,0.574492,0.47583186,0.59742,0.475472,0.37037488,0.81862,0.719076,0.59376,0.567808,0.493536,0.603164,0.618008,0.621824,0.854708,0.575616,0.737776,0.546330792,0.556005753,0.688768,0.51786,0.64018
LiberalDemocrats,0.999936,NaN,0.999984,0.999324,0.9936,0.999996,0.999936,0.994816,0.999856,NaN,0.997084,NaN,NaN,0.999216,0.998556,0.999324,0.998704,NaN,NaN,NaN,NaN,0.998236,0.997084,0.115768,0.555938714,0.050976,0.30856
MoDem,0.8329,0.667771789,0.512848,0.278945829,0.318736,0.406832,0.5374,0.66896,0.41254,0.572702023,0.7832,0.72382,0.805728,0.948404,0.999996,0.732488,0.895956,0.805984,0.92816,0.834,0.777608,0.999964,0.995904,0.636,0.999964,0.87756,0.449496
PvdA,0.931808,0.904,0.891916,0.967164,0.916736,0.93576,0.906096,0.853736,0.998704,0.58214,0.903712,0.71194,0.881887343,0.961928,0.97376,0.9964,0.998236,0.921888,0.90288,0.66332,0.767872,0.928488,0.983744,0.94948,0.898272,0.837928,0.65936
PVV,0.84034,0.859676,0.883312,0.903152791,0.613824,0.544729995,0.869688,0.879964,0.812448,0.780484,0.636510343,0.733384,0.908036,0.997696,0.988,0.89244,0.972968,0.908936,1,0.78442,0.98584,0.96988,0.912784,0.950024,0.989712,0.95268,0.907856
SNP,0.80346,0.888028,0.826,0.728676,0.797272,0.35632,0.758008,0.857992,0.84038,0.817632,0.765384,0.773888,0.920028,0.901352,0.74432,0.864144,0.862398341,0.845552,0.59686,0.75416292,0.817944,0.696,0.805808,0.88698,0.91414,0.762,0.8441
SP,0.999744,0.999984,0.999424,0.840924,0.999216,0.999996,0.998976,0.999516,0.999936,0.969928,0.997884,0.932992,0.997884,0.981776,0.837896,1,0.999424,0.9996,0.999984,0.998704,0.228928,0.999856,0.963996,0.9991,0.9999,0.998844,0.993916
UKIP,0.881064,0.932776,0.985888,0.92116,0.610524,0.928,0.913236614,0.67808,0.72124,0.927524,0.999744,0.986992,0.913687711,0.945992,0.845296,0.644131094,0.944032,0.988776,0.857968,0.947064923,0.769696,0.941712,0.9209,0.997296,0.942336,0.999856,0.999856
