,AfD,Bayrou,CDA,D66,fillon,Labour,LePen,Merkel,PvdA,PVV,SPD,Asscher,Buma,Bundeswahl2017,cambadeÕÅlis,CDU,ConservativeParty,CSU,DieLinke,Farage,Farron,FDP,FrontNational,Gabriel,GroenLinks,GruÕ_ne,GruÕ_nen,Klaver,lesrepublicains,LiberalDemocrats,Lindner,Meuthen,MoDem,OÕ_zdemir,Pechtold,Petry,PlaidCymru,PreÕÅsidentielles,Roemer,Rutte,Seehofer,SNP,SP,Sturgeon,TheresaMay,TK2017,Trump,UKIP,Wilders
AfD,,0.003759775,0.156489425,-0.269132942,0.241320792,0.309773716,0.197416026,0.179814068,0.224513015,-0.023528252,0.037230105,-0.068455329,0.104240723,-0.176375229,0.010647343,0.338462998,0.043705611,0.123829852,-0.125408661,-0.181161067,,-0.04687334,0.268244765,-0.042094876,-0.219395152,-0.23717645,-0.329204943,-0.029506485,0.118034412,-0.307883076,-0.231708949,-0.237184897,-0.06348318,0.195052482,0.056097588,-0.092012171,-0.179847345,-0.080558791,0.214799215,0.097865411,0.125271027,-0.009766033,-0.127745739,0.162747432,-0.176409807,0.310737502,-0.224271324,0.202433482,-0.00200705
Bayrou,0.003759775,,-0.058356302,-0.108521025,0.301564701,0.324811918,0.030864596,-0.386726102,0.152186241,0.113501296,-0.093132557,-0.032702495,0.069568686,-0.035141105,-0.016654665,-0.190444299,-0.514034646,0.195722036,0.031621531,0.150803043,,-0.002715837,0.088784699,-0.016349839,0.25248262,-0.082608382,-0.152842766,-0.079932085,0.164264365,0.093161809,-0.742396151,0.040005542,0.603710158,0.223536472,-0.091448995,-0.076428124,0.220781176,-0.109636957,0.007634678,-0.079047399,-0.168091761,0.140298247,0.08222002,0.033962096,-0.280881884,0.21319594,0.236859883,-0.026742466,0.349298377
CDA,0.156489425,-0.058356302,,-0.05110502,0.186435624,-0.233948432,0.207208605,0.193462886,0.089811135,-0.233652684,0.057353715,0.185543227,-0.160640402,-0.05274817,0.095120172,0.156648424,-0.087420646,-0.234485573,-0.140401103,-0.165035313,,-0.202488185,-0.068423566,-0.153338334,-0.073423415,0.293950606,0.029853491,-0.094817406,0.08324455,-0.335765278,-0.078129218,-0.114256661,-0.304775735,-0.203225561,0.352649462,0.039481904,-0.274502594,0.240101742,0.099734365,0.321318335,-0.190189701,-0.054416387,0.093558073,-0.183242366,0.195888696,0.26948046,-0.108309356,0.041691432,-0.238774062
D66,-0.269132942,-0.108521025,-0.05110502,,-0.108731345,-0.100428051,0.115637687,0.018868566,0.124601924,0.01231885,0.010135125,0.179189579,-0.103026388,0.668370414,-0.063564165,-0.101832366,-0.002016114,-0.068126999,-0.213245396,-0.077218805,,0.172981051,0.098356172,0.160311949,0.492847965,0.338208809,0.378807692,0.421014557,0.103022387,0.284941494,0.488325858,0.10172086,-0.073622631,-0.124412983,0.202895532,-0.212102173,0.292776256,0.010755264,0.007034564,-0.184001051,-0.057136967,-0.083304144,-0.198333825,-0.134558092,0.291254025,-0.24007758,0.35604132,-0.073996499,-0.078503781
fillon,0.241320792,0.301564701,0.186435624,-0.108731345,,0.198418317,0.035041705,-0.044741055,0.163957866,0.188161957,0.003739877,-0.422964395,-0.166535591,0.280242719,0.103565735,0.00622031,-0.670413827,0.072214373,0.264329265,-0.072478493,,0.151260639,-0.039054053,-0.016101583,-0.243763898,-0.197428087,-0.295632632,-0.032740406,0.011147466,-0.284851388,-0.67512875,0.210899039,0.330575296,0.240212721,0.252647533,0.362460236,-0.338603743,0.349600925,0.022266169,0.29693822,-0.084546132,0.021543257,-0.291422741,0.197116645,-0.175719499,0.286778839,0.038765583,0.202747353,0.218028947
Labour,0.309773716,0.324811918,-0.233948432,-0.100428051,0.198418317,,-0.134569404,-0.138031378,-0.095484011,-0.057728688,0.059907071,-0.159756125,0.285099068,-0.097876613,-0.138261044,0.174842222,0.629858657,0.04586486,-0.212577891,0.086815868,,-0.234783209,0.218511237,-0.207210184,-0.217788516,-0.153832781,-0.102241539,0.081895928,0.536112194,-0.159938408,-0.324954976,-0.375806088,0.559661699,0.030034802,-0.012694091,-0.062384733,-0.307392486,0.005023834,-0.056267442,-0.226952168,0.263905051,0.28302961,-0.206114089,0.017458483,-0.287925848,0.195225045,0.072928701,0.381821057,0.533574249
LePen,0.197416026,0.030864596,0.207208605,0.115637687,0.035041705,-0.134569404,,0.373665698,-0.052837666,0.141747374,0.005724564,0.550053504,0.26340854,0.051719074,0.06513497,0.294212352,-0.388430022,-0.258259215,-4.51E-05,0.005731183,,0.029858274,0.08549531,-0.338120869,0.129440091,-0.034941332,-0.131539262,0.206415902,0.109852021,0.02934757,-0.262811759,-0.084942199,-0.052477082,-0.290023517,0.286740792,-0.128586498,0.121677269,-0.161452129,-0.125148854,0.031454638,-0.334674242,-0.124714703,0.043776648,-0.382399677,0.354378894,0.117507978,0.127625419,0.007383668,-0.086437708
Merkel,0.179814068,-0.386726102,0.193462886,0.018868566,-0.044741055,-0.138031378,0.373665698,,-0.129764393,0.042213042,-0.209067342,0.21159997,0.209432939,-0.065907723,0.247482302,0.147874263,0.037155304,-0.143465036,-0.17615175,-0.107924679,,-0.178087399,0.373077108,-0.193615021,-0.151457397,-0.082188546,-0.054953614,0.258637907,-0.165867917,-0.237095793,-0.08653835,0.017783133,-0.266705871,-0.172568802,0.287929684,0.103922491,-0.26381424,-0.038163338,-0.071437109,0.107461673,-0.129708697,-0.039001101,0.401975445,-0.180808492,0.043608624,0.019253271,-0.044180955,0.176789174,-0.070047615
PvdA,0.224513015,0.152186241,0.089811135,0.124601924,0.163957866,-0.095484011,-0.052837666,-0.129764393,,0.014036253,-0.173712073,-0.070157724,-0.3171282,-0.095742653,0.238252407,0.151712108,-0.123062001,0.343672091,-0.057754045,-0.26205175,,-0.012050538,-0.190958396,0.245402255,0.364866146,0.352419552,0.073605383,0.0897975,-0.071389396,0.369183759,-0.008116402,-0.283690306,-0.089311674,0.649901391,-0.20338434,0.320009091,0.234090128,0.395622897,0.383371944,-0.184949945,0.243524364,-0.287888338,0.013584956,0.50672139,-0.050430367,-0.127577334,0.045845842,-0.364929858,-0.096321275
PVV,-0.023528252,0.113501296,-0.233652684,0.01231885,0.188161957,-0.057728688,0.141747374,0.042213042,0.014036253,,-0.289432445,0.408558068,0.598639092,0.137216121,-0.260152262,0.37801889,-0.444029769,-0.0876277,0.130176849,-0.229801838,,0.236460913,-0.146636625,-0.134363248,-0.031097877,-0.49187061,-0.36307184,-0.021969558,-0.341510732,-0.510392869,-0.398745591,0.198183854,0.085226391,0.171989645,-0.039454128,0.503169172,-0.087330513,0.292088989,-0.514336217,-0.232976147,-0.165616464,0.261434311,0.085756073,0.034634542,-0.143743603,0.404859357,-0.048048457,-0.009006973,-0.064392114
SPD,0.037230105,-0.093132557,0.057353715,0.010135125,0.003739877,0.059907071,0.005724564,-0.209067342,-0.173712073,-0.289432445,,-0.183972641,-0.253057091,0.11104415,-0.063667764,0.050879633,0.022072538,-0.257350967,-0.030924657,0.128208249,,0.278021437,0.365623308,0.157003725,-0.273732094,0.194801357,0.126244088,-0.224379218,0.134405715,0.202146712,0.566434809,0.062318948,-0.060197153,-0.374645757,-0.153328447,-0.265682376,0.047416721,0.146398631,0.149351132,-0.257045191,-0.108096284,0.219823452,-0.064829181,-0.264715723,-0.079487027,-0.022739592,-0.107473057,-0.211792972,-0.115480762
Asscher,-0.068455329,-0.032702495,0.185543227,0.179189579,-0.422964395,-0.159756125,0.550053504,0.21159997,-0.070157724,0.408558068,-0.183972641,,0.493978634,-0.190553461,-0.138168591,0.44710189,-0.14992267,-0.196165336,-0.143098172,-0.098771431,,-0.143241909,0.007221645,-0.254079636,0.259551474,0.065831241,0.168932998,-0.041658159,0.045511132,-0.00049171,-0.166258088,-0.207677353,-0.186733986,-0.125159445,0.2877822,-0.011634231,0.209415456,-0.095999303,-0.340896112,-0.168718512,-0.148762095,0.007091113,-0.021981238,-0.134057834,0.631698248,0.149207209,-0.064606231,-0.024851999,-0.145735039
